Dept,CourseName,Instructor
EUST,"Mystery, Murder, Madness: Crime Stories in German Literature",Lydia Butt
EUST,Europe in the Twentieth Century,David Tompkins
EUST,The Peasants are Revolting! Society and Politics in the Making of Modern France,Susannah Ottaway
EUST,The First World War as Global Phenomenon,David Tompkins
EUST,Baroque and Classical Music,Lawrence Archbold
EUST,Existentialism,Anna Moltchanova
EUST,Comparative Political Regimes,Dev Gupta
EUST,"Capitalist Crises, Power, and Policy",Kent Freeze
EUST,The Rise of the Russian Novel,Laura Goering
EUST,Immigration and Immigrants in Europe and the United States,Daniel Williams
EUST,The Spanish Civil War,Jorge Brioso
FRST,Intermediate French,Eva Posfay
FRST,Contemporary Francophone Culture,Cherif Keita
FRST,Coffee and News,Cherif Keita
FRST,Europe in the Twentieth Century,David Tompkins
FRST,The Peasants are Revolting! Society and Politics in the Making of Modern France,Susannah Ottaway
FRST,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
FREN,Elementary French,Stephanie Cox
FREN,Elementary French,Christine Lac
FREN,Elementary French,Stephanie Cox
FREN,Intermediate French,Eva Posfay
FREN,Contemporary Francophone Culture,Cherif Keita
FREN,Coffee and News,Cherif Keita
FREN,Topics in Cultural Studies: Cultural Reading of Food,Christine Lac
FREN,The Mande of West Africa: A Tradition of Change,Cherif Keita
FREN,Integrative Exercise,Staff
FREN,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
GEOL,Climate Change in Geology,Clinton Cowan
GEOL,Climate Change Geology Lab,Clinton Cowan
GEOL,Geology of Energy and Mineral Resources,Cameron Davidson
GEOL,Geol of Mineral&amp;Energy Lab,Cameron Davidson
GEOL,Mineralogy,Bereket Haileab
GEOL,Mineralogy Lab,Bereket Haileab
GEOL,Mineralogy Lab,Bereket Haileab
GEOL,Hydrology,Mary Savina
GEOL,Hydrology Laboratory,Mary Savina
GEOL,Structural Geology,Sarah Titus
GEOL,Structural Geology Lab,Sarah Titus
GEOL,Integrative Exercise,Staff
GERM,Elementary German,Roger Paas
GERM,Elementary German,Lydia Butt
GERM,Culture or Barbarity? The German Question,Roger Paas
GERM,"Mystery, Murder, Madness: Crime Stories in German Literature",Lydia Butt
GERM,Integrative Exercise,Staff
GERM,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
GRK,Elementary Greek,Rob Hardy
GRK,Greek Poetry,Johannes (Hans) Wietzke
GRK,Homer,Johannes (Hans) Wietzke
HEBR,Elementary Modern Hebrew,"Stacy Beckwith, "
HEBR,Intermediate Modern Hebrew,Stacy Beckwith
HIST,"Crisis, Creativity, and Transformation in Late Antiquity",William North
HIST,Europe in the Twentieth Century,David Tompkins
HIST,Cold War in East Asia,Seungjoo Yoon
HIST,West Africa in the Era of the Slave Trade,Thabiti Willis
HIST,"History Workshop: The Chinese Cultural Revolution, 1966-76",Seungjoo Yoon
HIST,The Age of Jefferson,Serena Zabin
HIST,The Peasants are Revolting! Society and Politics in the Making of Modern France,Susannah Ottaway
HIST,The First World War as Global Phenomenon,David Tompkins
HIST,African in the Arab World,Thabiti Willis
HIST,Junior-year History Colloquium,Harry Williams
HIST,American Cities and Nature,George Vrtis
HIST,U.S. Relations with Ghana: The Field Trip and Beyond,Harry Williams
HIST,Voyages of Understanding,Victoria Morse
HIST,Advanced Historical Writing,Annette Igra
HIST,Advanced Historical Writing,Andrew Fisher
HIST,Integrative Exercise,Staff
HIST,The Archaeology of Mediterranean Prehistory: From the Beginning to the Classical Age,Alex Knodell
HIST,The History of American School Reform,Jeff Snyder
IDSC,Student Conversations about Diversity and Community,Adriana Estill
IDSC,Student Conversations about Diversity and Community,Adriana Estill
IDSC,Student Conversations about Diversity and Community,Adriana Estill
IDSC,Student Conversations about Diversity and Community,Adriana Estill
IDSC,Hacking the Humanities,Austin Mason
IDSC,Focus Colloquium,Sam Patterson
IDSC,MMUF Research Seminar,William North
IDSC,Public Health in Practice,Debby Walser-Kuntz
IDSC,Windows on the Good Life,"Laurence Cooper, Alan Rubenstein"
IDSC,Windows on the Good Life,"Laurence Cooper, Alan Rubenstein"
IDSC,Focus Sophomore Colloquium,Deborah Gross
JAPN,Elementary Japanese,"Noboru Tomonari, Mariko Kaga"
JAPN,Elementary Japanese,"Mariko Kaga, Noboru Tomonari"
JAPN,Intermediate Japanese,Kathryn Sparling
JAPN,World of Japanese Manga in Translation,Noboru Tomonari
JAPN,Advanced Reading in Modern Japanese Literature: The Short Story,Kathryn Sparling
LATN,Intermediate Latin,Alex Knodell
LATN,Livy,Kathryn Steed
LTAM,Integrative Exercise,Andrew Fisher
LTAM,Cinema and Cultural Change in Chile and Argentina,Cecilia Cornejo
LTAM,Introduction to U.S. Latino/a Literature,Adriana Estill
LTAM,Latin American Politics,Alfred Montero
LTAM,"Mother Earth: Women, Development and the Environment",Constanza Ocampo-Raeder
LTAM,Introduction to Latin American Literature,Silvia Lopez
LTAM,Myth and History in Central American Literature,Yansi Perez
LTAM,Women Writers in Latin America: Body and Text,Becky Boling
LTAM,The Spanish Civil War,Jorge Brioso
LING,Introduction to Linguistics,Mike Flynn
LING,Generative Approaches to Syntax,Cherlon Ussery
LING,First Language Acquisition,Catherine Fortin
LING,Topics in Phonology,Ania Lubowicz
LING,Integrative Exercise,Staff
LING,Computability and Complexity,David Liben-Nowell
LING,Logic,Douglas Marshall
LCST,"Introduction to Critical Methods: Structure, Gender, Culture",Scott Carpenter
MATH,Introduction to Calculus,Allison Tanguay
MATH,Calculus II,Tommy Occhipinti
MATH,Calculus II,Allison Tanguay
MATH,A Tour of Mathematics,Staff
MATH,Introduction to Multivariable Calculus,Rafe Jones
MATH,Introduction to Multivariable Calculus,Deanna Haunsperger
MATH,Introduction to Multivariable Calculus,Deanna Haunsperger
MATH,Introduction to Statistics,Katie St. Clair
MATH,Introduction to Statistics,Dave Watson
MATH,Linear Algebra,Eric Egge
MATH,Linear Algebra,Rafe Jones
MATH,Linear Algebra,Gail Nelson
MATH,Mathematical Structures,Helen Wong
MATH,Ordinary Differential Equations,Mark Krusemeyer
MATH,Applied Regression Analysis,Laura Chihara
MATH,Chaotic Dynamics,Sam Patterson
MATH,Introduction to Statistical Inference,Katie St. Clair
MATH,Introduction to Statistical Inference,Dave Watson
MATH,Statistical Consulting,Laura Chihara
MATH,Real Analysis II,Gail Nelson
MATH,Abstract Algebra I,Eric Egge
MATH,Senior Seminar in Knot Theory,Helen Wong
MATH,Integrative Exercise,Deanna Haunsperger
MATH,Integrative Exercise,Tommy Occhipinti
MATH,Integrative Exercise,Sam Patterson
MATH,Integrative Exercise,Katie St. Clair
MATH,Integrative Exercise,Allison Tanguay
MATH,Integrative Exercise,Dave Watson
MATH,Integrative Exercise,Gail Nelson
MARS,Introduction to Art History II,"Baird Jarman, Jessica Keating"
MARS,Shakespeare I,Pierre Hecker
MARS,Christopher Marlowe,Pierre Hecker
MARS,Revenge Tragedy,Pierre Hecker
MARS,Shakespeare I,Pierre Hecker
